route_id,num_stops,nn_time_seconds,nn_violations,algo_time_seconds,algo_violations,actual_time_seconds,actual_violations,algo_passes_run
RouteID_97ea3b69-eae6-4db8-a188-d98a03d73d74,178,32020.6,1,30230.5,0,31420.9,0,4
RouteID_1bc5771b-4d0f-4b2d-99c7-0bad1a189e2a,146,24218.1,3,24108.8,0,24716.0,0,5
RouteID_c01480b7-ba76-462e-8c4a-0046edad9170,154,23698.2,1,22180.8,0,23311.9,0,4
RouteID_5865e1c6-0feb-49f7-99c7-da35c99a253d,178,26240.0,2,26603.7,0,26495.4,0,4
RouteID_c48f1517-7277-4ce2-a603-2d1a7197fefa,142,28801.4,1,28329.2,0,28769.4,0,3
RouteID_d54efb27-1db9-4a1a-a9c0-b879fffb523b,126,26131.7,3,25904.0,0,26513.4,2,5
RouteID_79a673da-e1c8-4c0c-b5b1-e94f7e976087,183,28796.1,7,28992.5,0,28438.4,3,3
RouteID_2b8df66d-fcd4-438e-931c-3b84b36a5c6b,133,24531.5,13,24873.6,0,25750.0,0,4
RouteID_4f5da18b-8a76-4ab9-99bf-aa8e266e4ab1,172,29472.1,6,26882.8,0,28156.6,3,6
RouteID_7e8cdc0e-0e4f-452c-aded-6622d2cc68e1,176,25245.6,5,25689.6,0,26580.5,0,4
RouteID_f60e335c-e55c-4529-91e1-885b587c2aba,202,28944.8,0,27962.6,0,28905.9,0,3
RouteID_49241a0e-00eb-401a-93ab-ce909f56dd8a,131,26904.4,9,24664.3,0,26120.9,0,4
RouteID_df1c5651-c05c-4d42-bb95-e2bd5e7d1f67,150,23085.0,0,22669.9,0,23465.9,0,3
RouteID_8a651fc6-9062-44b6-9a91-07b054dec2bf,83,24756.7,1,24702.7,1,25611.7,1,2
RouteID_4ac5068d-f0db-45d3-8201-1dac6892d3d0,153,28001.3,0,26303.0,0,26910.1,0,6
RouteID_9d17a916-7a43-4c0b-b3cd-fe7f7849a52d,190,31645.7,0,30879.4,0,30313.4,0,5
RouteID_50f647bf-63f2-4be3-af9d-81c6cb55e810,173,28176.4,0,26881.7,0,27188.4,0,4
RouteID_8b8f4e98-6e59-457f-9923-3ce7f2cf6072,175,29584.0,0,29143.3,0,29399.2,0,4
RouteID_f17718bf-7a80-4a1d-9aaf-b5b331ca231d,97,22118.9,0,21746.9,0,22418.1,0,2
RouteID_a473a91d-3dc6-48f5-8086-25178c92feb7,166,26620.6,11,27288.3,0,26635.5,0,3
RouteID_ec2fa948-456a-41b7-9232-13068e793267,173,27376.7,0,27275.2,0,28307.8,0,3
RouteID_9e02ecb9-4a77-49af-92c4-f85a1ae18d78,174,27328.8,0,26648.1,0,27235.6,0,3
RouteID_1d917b81-56cf-40b4-acc5-32c12b3c5954,170,25183.5,0,23426.4,0,24507.1,0,4
